timestamp,src_ip,dst_ip,protocol,attack_type,src_port,dst_port
218,10.0.4.246,10.0.1.10,udp,BruteForce,37430,20000
221,10.0.157.164,10.0.1.10,udp,Probe,64371,443
223,10.0.225.131,10.0.1.10,dnp3,DoS,8171,80
225,10.0.127.201,10.0.1.10,dnp3,U2R,40391,443
228,10.0.207.248,10.0.1.10,udp,BruteForce,39437,80
230,10.0.63.187,10.0.1.10,modbus,U2R,47137,502
236,10.0.224.183,10.0.1.10,udp,Probe,3940,80
241,10.0.22.64,10.0.1.10,dnp3,Probe,42493,80
242,10.0.147.139,10.0.1.10,tcp,Probe,49016,20000
243,10.0.75.172,10.0.1.10,udp,BruteForce,31047,20000
245,10.0.140.212,10.0.1.10,udp,BruteForce,7888,443
245,10.0.86.122,10.0.1.10,modbus,R2L,20445,80
246,10.0.15.191,10.0.1.10,udp,R2L,16298,80
248,10.0.57.67,10.0.1.10,udp,BruteForce,29284,20000
250,10.0.224.138,10.0.1.10,udp,U2R,14645,443
252,10.0.207.250,10.0.1.10,tcp,U2R,5338,502
256,10.0.44.85,10.0.1.10,dnp3,U2R,43491,443
257,10.0.82.148,10.0.1.10,udp,U2R,20051,20000
260,10.0.114.96,10.0.1.10,udp,DoS,30873,80
261,10.0.4.80,10.0.1.10,modbus,U2R,37098,443
267,10.0.164.175,10.0.1.10,dnp3,DoS,58542,443
267,10.0.72.162,10.0.1.10,tcp,BruteForce,8942,80
272,10.0.213.167,10.0.1.10,tcp,MITM,1123,20000
272,10.0.17.26,10.0.1.10,dnp3,R2L,51736,20000
275,10.0.111.45,10.0.1.10,udp,DoS,63907,443
282,10.0.28.143,10.0.1.10,modbus,Probe,41006,20000
287,10.0.90.203,10.0.1.10,dnp3,R2L,29026,443
299,10.0.13.208,10.0.1.10,dnp3,Probe,13344,502
299,10.0.158.162,10.0.1.10,modbus,U2R,43653,502
300,10.0.215.231,10.0.1.10,udp,R2L,46748,20000
301,10.0.101.228,10.0.1.10,tcp,DoS,56482,502
304,10.0.188.62,10.0.1.10,tcp,Probe,21201,20000
305,10.0.54.187,10.0.1.10,tcp,U2R,62429,502
306,10.0.217.203,10.0.1.10,dnp3,U2R,40832,20000
309,10.0.151.162,10.0.1.10,modbus,U2R,56407,20000
311,10.0.161.16,10.0.1.10,tcp,Probe,16848,502
313,10.0.208.245,10.0.1.10,dnp3,U2R,36808,80
317,10.0.9.147,10.0.1.10,tcp,R2L,45494,502
324,10.0.88.99,10.0.1.10,modbus,U2R,14719,502
326,10.0.67.16,10.0.1.10,tcp,BruteForce,7136,443
326,10.0.171.146,10.0.1.10,udp,R2L,16074,502
327,10.0.37.91,10.0.1.10,dnp3,Probe,42411,502
330,10.0.15.97,10.0.1.10,dnp3,U2R,1576,443
332,10.0.181.208,10.0.1.10,udp,R2L,21349,502
350,10.0.57.62,10.0.1.10,udp,DoS,53661,443
351,10.0.66.86,10.0.1.10,tcp,Probe,33366,80
353,10.0.163.233,10.0.1.10,tcp,DoS,2773,502
353,10.0.74.49,10.0.1.10,tcp,DoS,29467,443
358,10.0.75.93,10.0.1.10,dnp3,DoS,36969,20000
358,10.0.76.184,10.0.1.10,dnp3,R2L,5372,502
362,10.0.120.36,10.0.1.10,modbus,MITM,24227,443
367,10.0.6.101,10.0.1.10,tcp,R2L,47041,502
368,10.0.141.151,10.0.1.10,modbus,R2L,30186,502
369,10.0.194.1,10.0.1.10,tcp,R2L,33436,80
370,10.0.213.148,10.0.1.10,tcp,U2R,26662,502
377,10.0.26.214,10.0.1.10,modbus,BruteForce,5611,20000
377,10.0.1.70,10.0.1.10,modbus,DoS,48675,20000
378,10.0.223.170,10.0.1.10,udp,BruteForce,6243,80
381,10.0.36.41,10.0.1.10,tcp,MITM,46704,502
384,10.0.140.104,10.0.1.10,modbus,MITM,20177,443
385,10.0.7.208,10.0.1.10,udp,MITM,58488,443
388,10.0.240.33,10.0.1.10,udp,DoS,19838,80
392,10.0.85.187,10.0.1.10,dnp3,Probe,26102,502
394,10.0.84.18,10.0.1.10,tcp,DoS,23629,443
396,10.0.65.40,10.0.1.10,tcp,MITM,31036,502
397,10.0.169.58,10.0.1.10,modbus,U2R,23579,20000
398,10.0.165.180,10.0.1.10,modbus,BruteForce,6422,80
408,10.0.105.231,10.0.1.10,modbus,DoS,43552,80
412,10.0.40.204,10.0.1.10,dnp3,BruteForce,61858,443
413,10.0.7.239,10.0.1.10,udp,Probe,57330,20000
419,10.0.156.168,10.0.1.10,dnp3,R2L,47709,443
420,10.0.223.132,10.0.1.10,modbus,U2R,51580,80
420,10.0.122.56,10.0.1.10,modbus,BruteForce,18448,502
421,10.0.32.141,10.0.1.10,modbus,BruteForce,54400,20000
425,10.0.160.76,10.0.1.10,udp,R2L,63838,443
426,10.0.181.140,10.0.1.10,modbus,Probe,15544,20000
427,10.0.194.1,10.0.1.10,tcp,Probe,13505,502
427,10.0.24.87,10.0.1.10,tcp,U2R,3724,80
429,10.0.31.104,10.0.1.10,modbus,BruteForce,33530,502
433,10.0.19.78,10.0.1.10,dnp3,R2L,55783,80
433,10.0.189.78,10.0.1.10,modbus,Probe,34899,443
434,10.0.70.30,10.0.1.10,udp,Probe,25407,20000
438,10.0.9.66,10.0.1.10,modbus,DoS,45988,20000
442,10.0.65.91,10.0.1.10,modbus,BruteForce,58125,20000
442,10.0.247.64,10.0.1.10,modbus,Probe,57579,443
444,10.0.121.24,10.0.1.10,dnp3,BruteForce,50837,20000
447,10.0.34.225,10.0.1.10,udp,DoS,61538,502
448,10.0.228.108,10.0.1.10,tcp,R2L,17992,443
448,10.0.217.115,10.0.1.10,modbus,Probe,57509,20000
449,10.0.99.91,10.0.1.10,udp,U2R,42245,443
455,10.0.137.147,10.0.1.10,modbus,R2L,62240,502
456,10.0.128.146,10.0.1.10,udp,U2R,16445,20000
458,10.0.114.132,10.0.1.10,dnp3,U2R,36162,80
461,10.0.213.78,10.0.1.10,dnp3,MITM,24489,20000
461,10.0.172.161,10.0.1.10,tcp,U2R,41125,443
461,10.0.199.200,10.0.1.10,dnp3,DoS,8298,502
462,10.0.110.175,10.0.1.10,udp,DoS,64638,443
462,10.0.75.99,10.0.1.10,tcp,U2R,14698,502
468,10.0.56.160,10.0.1.10,udp,U2R,7881,20000
468,10.0.6.169,10.0.1.10,tcp,R2L,49569,20000
469,10.0.203.30,10.0.1.10,modbus,R2L,9767,80
474,10.0.106.127,10.0.1.10,dnp3,DoS,29866,502
475,10.0.88.32,10.0.1.10,dnp3,R2L,8626,443
477,10.0.16.26,10.0.1.10,udp,Probe,57078,20000
484,10.0.211.46,10.0.1.10,udp,Probe,63018,502
485,10.0.250.60,10.0.1.10,modbus,DoS,5645,20000
497,10.0.237.102,10.0.1.10,tcp,DoS,2455,80
500,10.0.64.229,10.0.1.10,udp,DoS,5486,443
502,10.0.154.27,10.0.1.10,dnp3,BruteForce,47561,20000
504,10.0.168.118,10.0.1.10,modbus,U2R,34119,443
504,10.0.231.40,10.0.1.10,modbus,DoS,56481,502
505,10.0.135.89,10.0.1.10,udp,DoS,55896,20000
506,10.0.180.146,10.0.1.10,dnp3,DoS,51629,502
512,10.0.228.161,10.0.1.10,dnp3,U2R,34257,80
514,10.0.83.214,10.0.1.10,dnp3,U2R,33703,20000
518,10.0.44.191,10.0.1.10,udp,R2L,48065,502
519,10.0.180.237,10.0.1.10,dnp3,R2L,55934,80
520,10.0.218.176,10.0.1.10,modbus,U2R,31966,502
521,10.0.83.113,10.0.1.10,udp,R2L,25376,80
523,10.0.194.53,10.0.1.10,modbus,U2R,36113,443
528,10.0.11.17,10.0.1.10,udp,BruteForce,9576,502
529,10.0.191.224,10.0.1.10,tcp,U2R,35037,20000
530,10.0.222.247,10.0.1.10,modbus,DoS,48376,80
532,10.0.56.115,10.0.1.10,dnp3,DoS,10333,80
536,10.0.57.3,10.0.1.10,modbus,BruteForce,47265,80
537,10.0.182.38,10.0.1.10,modbus,DoS,9492,20000
